recipe_name,source,tray,roast,flavor_tags,method,notes
Holy Water,Espresso Aficionados,classic,light;medium,Bright;Clarity,filter,"Foundational EAF formula (60 GH / 20 KH). Low-buffer, high-SO4 preserves brightness; Mg-only Epsom hardness. Spans light-medium per the 'forgiving' framing in the EAF guide."
Melbourne Water,Espresso Aficionados,classic,light;medium,Balanced;Bright,filter,"EAF Melbourne café-style (St. Ali aesthetic). Slightly more buffer than Holy Water but still Mg-forward; balanced bright cup, light-to-medium specialty range."
Hendon Water (Direct Dosing),Christopher Hendon / EAF,classic,light;medium,Bright;Clarity,filter,"Hendon-style high-SO4 (95 ppm) Epsom-heavy water. Brightness-forward; suits light-to-medium specialty roasts where extraction needs lift."
Barista Hustle Water #4,Barista Hustle,classic,light;medium,Balanced;Sweet,filter,"BH 'World in Two Bottles' #4 — moderate buffer (40 KH) with rounded Mg/Na. Reads as the balanced/sweet end of the BH set; spans light-medium."
TWW Espresso Inspired,Third Wave Water,classic,medium;dark,Full Body;Sweet,espresso,"TWW Espresso profile equivalent. Very high buffer (67.5 KH) and high mineral load (Mg 38.9, K 53, SO4 154, HCO3 82) suit medium-to-dark espresso roasts."
RPavlis,Robert Pavlis,classic,all,Clarity,filter,"Buffer-only KHCO3 scale-prevention water. Versatile across roast levels; primary value is no-scale operation, secondary is clarity from no-hardness, no-sodium."
Fam's 29th Wave,Espresso Aficionados (Fam),classic,light,Sweet;Balanced,espresso,"EAF formula explicitly designed as 'high buffer water for light roast espresso' per espressoaf.com. Very low Mg (4.9 ppm) + high alkalinity (90 KH) smooths light-roast espresso."
Fam's 69th Wave,Espresso Aficionados (Fam),classic,light;medium,Full Body;Balanced,espresso,"Method flipped to espresso (matches 29th Wave's 60/90 framework; the original 002 migration's filter assignment was likely an oversight, same as 29th was for 004). 3x the Mg of 29th adds body for slightly fuller espresso; spans light-medium."
Hendon Water,Christopher Hendon,classic,medium,Balanced,espresso,"Hendon's espresso target (24 ppm Mg / 31 KH). Cleaner Mg-only profile at espresso-appropriate concentrations. Medium-roast espresso intent."
Aviary Filter,Aviary (Christopher Feran),roaster,light,Balanced;Clarity,filter,"Aviary roastery is exclusively very light Nordic-style roasts (Cleveland). Recipe (58 GH / 27 KH, 1.3:1 Mg:Ca) explicitly targets 'cup clarity and articulation' per Feran. Single roast = light."
Aviary Espresso,Aviary (Christopher Feran),roaster,light,Sweet;Full Body,espresso,"Aviary's espresso profile — very low hardness (5.5 ppm total Ca+Mg) with high buffer (59.6 KH) and high Na (27 ppm). Round, sweet, smooths light-roast espresso. Old 'Round' tag mapped to Full Body per new taxonomy."
RAsami Week 1 Day 1,Robert Asami,classic,light,Bright;Clarity,filter,"Mg-only Epsom-heavy starter ('based on Holy Water' per migration). Low buffer (15 KH) preserves acidity → light-roast bright."
RAsami Week 1 Day 2,Robert Asami,classic,light,Sweet;Clarity,filter,"Migration explicitly notes 'for lighter washed coffees.' Ca-only hardness via CaCl₂ at low buffer. Old 'Delicate' tag mapped to Clarity per new taxonomy."
RAsami Week 1 Day 3,Robert Asami,classic,light;medium,Balanced,filter,"Mg+Ca blend at 60 GH / 15 KH — the educational pivot toward balanced cups. Spans light/medium specialty range."
RAsami Week 1 Day 4,Robert Asami,classic,light;medium,Sweet;Full Body,filter,"Ca-leaning variant (12 Ca / 5 Mg) of Day 3 → adds body and sweetness. Higher Ca pushes toward medium support; still works at light."
RAsami Week 1 Day 5,Robert Asami,classic,light,Balanced;Bright,filter,"Introduces KHCO₃ buffer (sodium-free). Sodium-free, clarity-forward Mg+Ca blend; light-roast oriented."
RAsami Week 1 Day 6,Robert Asami,classic,light;medium,Balanced;Full Body,filter,"Complex multi-mineral blend with 15 ppm NaCl boost. More body than earlier days from added salt and the broader mineral palette; spans light/medium."
RAsami Week 1 Day 7,Robert Asami,classic,light,Clarity;Juicy,filter,"Low-TDS profile + 20 ppm NaCl — salt-enhanced light brewing. Old 'Delicate' tag merged into Clarity; added Juicy for the salt-enhanced perceived sweetness/fruit."
Sey,Sey Coffee,roaster,light,Bright;Clarity;Juicy,filter,"Sey is the canonical ultra-light Nordic-style washed roaster (Brooklyn). High SO4 (Epsom) + high Cl (CaCl₂) + balanced 15 KH KHCO₃ buffer → vibrant, juicy clarity built for very light washed coffees."
SCA Standard,Specialty Coffee Association,classic,all,Balanced,all,"SCA brewing-water target (Ca 51 / Mg 17 / Alk 40). Generic balanced baseline; designed to work across roast levels rather than emphasize any cup character. Single Balanced tag matches its design intent as the universal default. Retagged method=all in migration 009 to surface in both filter and espresso views."
Rao's Recipe,Scott Rao,classic,light;medium,Balanced;Sweet,all,"Rao's water target (Ca 20.9 / Mg 8.5 / Alk 40). Lotus-style ratio favoring sweetness and structure over brightness amplification; Rao uses it across both pour-over and espresso. Retagged method=all in migration 009."
Lotus Light and Bright,Lotus Coffee Water,classic,light,Bright;Clarity,filter,"Lotus filter recipe (Ca 22.8 / Mg 0 / Alk 24 via KHCO₃ / Cl 40). Mg-free, Ca/Cl-heavy with low buffer — sodium-free, clarity-forward. Classed as classic to match Third Wave Water precedent (commercial brand recipes in classic tray)."
Lotus Simple and Sweet,Lotus Coffee Water,classic,light;medium,Sweet;Balanced,filter,"Lotus filter recipe (Ca 22.8 / Mg 7.9 / Alk 40 / Na 11.2 / Cl 63.4). Adds Mg + Na for rounded sweetness; higher buffer makes it more roast-flexible than Light and Bright."
Lotus Light and Bright (espresso),Lotus Coffee Water,classic,light,Bright;Clarity,espresso,"Lotus espresso variant (Ca 0 / Mg 3.9 / Alk 44 via KHCO₃ / K 34.7 / Cl 11.5). Clarity-forward espresso: no Ca, sodium-free, K-buffered. Light-roast espresso intent."
Lotus Simple and Sweet (espresso),Lotus Coffee Water,classic,medium,Sweet;Full Body,espresso,"Lotus espresso variant (Ca 0 / Mg 3.9 / Alk 56.7 / Na 26.1 / Cl 11.5). High buffer + sodium → 'sweeter, rounder shots' per Lotus description. Old 'Round' tag mapped to Full Body."
Lotus Bright and Juicy,Lotus Coffee Water,classic,light,Bright;Juicy,filter,"Lotus filter recipe (Ca 13 / Mg 7.9 / Alk 16.2 / Cl 46.1). Low buffer for vivid acidity, fruit-forward cups, high clarity per description. The tag pairing (Bright;Juicy) matches the recipe name."
Cafelytic Filter,Cafelytic,featured,light,Juicy;Clarity;Sweet,filter,"In-house light-roast filter (Ca 2 / Mg 11 / Alk 11 / K 9 / Cl 36 / no SO4). Direct dosing per L: 0.007g CaCl₂·2H₂O + 0.092g MgCl₂·6H₂O + 0.023g KHCO₃ (Lotus-compatible: matches Lotus Calcium and Lotus Magnesium drop chemistry). Distinctive in catalog: only low-TDS filter with zero sulfate. Mg-dominant + Cl-heavy + KHCO₃ buffer = juicy/sweet/clean instead of bright-amplified. Currently in featured tray; natural tray is original."
Cafelytic Espresso,Cafelytic,original,light;medium,Sweet;Juicy;Full Body,espresso,"In-house espresso companion to Cafelytic Filter (Ca 4 / Mg 16 / Alk 32 via KHCO₃ / K 25 / Cl 54 / no SO4). Direct dosing per L: 0.015g CaCl₂·2H₂O + 0.134g MgCl₂·6H₂O + 0.064g KHCO₃ (Lotus-compatible salts). Preserves Cafelytic house character (Cl-heavy, no SO4, sodium-free, K-buffered) at espresso concentrations; Alk 32 sits at the bottom of typical light-roast espresso range. Spans light-medium thanks to espresso buffer expansion."
